Frequency Rank	Italian	English
"4029"	"banco"	"banco: desk, writing desk, writing‐desk
banco: counter"
"4032"	"burro"	"burro: butter"
"4038"	"eccetto"	"eccetto: apart from, but, except, other than
eccetto: bar, barring, except for, subject to, without prejudice"
"4040"	"disegno"	"disegno: design, drawing"
"4057"	"mestiere"	"mestiere: handicraft, occupation, trade"
"4059"	"coperto"	"coperto: covered"
"4063"	"quindici"	"quindici: fifteen"
"4074"	"mortale"	"mortale: deadly"
"4085"	"scherzare"	"scherzare: jest, joke"
"4086"	"comitato"	"comitato: committee"
"4091"	"ricompensa"	"ricompensa: compensation, reward"
"4094"	"attraversare"	"attraversare: cross, go beyond, transfer"
"4098"	"cortesia"	"cortesia: politeness"
"4099"	"settembre"	"settembre: September"
"4101"	"attaccare"	"attaccare: assault, attack"
"4112"	"avventura"	"avventura: adventure"
"4113"	"confessione"	"confessione: acknowledgement, admission, confession"
"4125"	"buca"	"buca: letterbox, mailbox"
"4128"	"mercoledì"	"mercoledì: Wednesday"
"4129"	"saluto"	"saluto: greeting"
"4154"	"scoperta"	"scoperta: discovery"
"4156"	"trattare"	"trattare: deal with, handle, treat"
"4164"	"pregare"	"pregare: pray"
"4172"	"elegante"	"elegante: elegant"
"4179"	"affetto"	"affetto: affection"
"4184"	"monte"	"monte: mountain"
"4189"	"coprire"	"coprire: cover"
"4190"	"porco"	"porco: hog, pig, swine"
"4196"	"ruota"	"ruota: wheel"
"4198"	"badare"	"badare: look after, nurse"
"4202"	"insegnare"	"insegnare: acquaint, inform, report
insegnare: teach
insegnare: let know"
"4206"	"cravatta"	"cravatta: tie, necktie"
"4217"	"giallo"	"giallo: yellow"
"4219"	"sperare"	"sperare: hope"
"4223"	"fedele"	"fedele: faithful
fedele: loyal"
"4233"	"Russia"	"Russia: Russia"
"4239"	"chirurgo"	"chirurgo: surgeon"
"4244"	"coniglio"	"coniglio: rabbit"
"4254"	"cimitero"	"cimitero: cemetery, God's acre, graveyard"
"4258"	"isolato"	"isolato: remote"
"4268"	"bambola"	"bambola: doll, puppet"
"4271"	"noto"	"noto: well‐known"
"4290"	"misura"	"misura: measure, measurement"
"4294"	"difendere"	"difendere: defend"
"4295"	"accento"	"accento: accent, stress"
"4313"	"perduto"	"perduto: lost"
"4314"	"considerazione"	"considerazione: esteem, regard"
"4319"	"sentirsi"	"sentirsi: feel"
"4324"	"crema"	"crema: cream"
"4334"	"sebbene"	"sebbene: though, although"
"4336"	"carattere"	"carattere: character, nature"
"4353"	"leone"	"leone: lion"
"4362"	"evidente"	"evidente: evident, obvious"
"4369"	"insalata"	"insalata: salad"
"4374"	"ripetere"	"ripetere: repeat"
"4379"	"dozzina"	"dozzina: dozen"
"4392"	"dose"	"dose: dose"
"4394"	"vomitare"	"vomitare: throw up, vomit"
"4395"	"secco"	"secco: dry"
"4406"	"trattamento"	"trattamento: treatment"
"4411"	"metodo"	"metodo: method"
"4427"	"temere"	"temere: be afraid of, fear"
"4429"	"scommettere"	"scommettere: bet, wager"
"4431"	"sesto"	"sesto: sixth"
"4437"	"condotto"	"condotto: barrel, channel, pipe, tube"
"4447"	"trasporto"	"trasporto: transport"
"4458"	"curare"	"curare: attend, nurse, tend to"
"4460"	"dettaglio"	"dettaglio: detail"
"4468"	"rifiuto"	"rifiuto: refusal"
"4470"	"balla"	"balla: bale"
"4475"	"cugina"	"cugina: cousin"
"4484"	"bandiera"	"bandiera: banner, flag"
"4485"	"trenta"	"trenta: thirty"
"4490"	"imputato"	"imputato: accused, defendant"
"4496"	"principio"	"principio: beginning, commencement, start
principio: principle"
"4503"	"infelice"	"infelice: unhappy"
"4531"	"migliorare"	"migliorare: improve"
"4532"	"uovo"	"uovo: egg"
"4545"	"piazza"	"piazza: plaza, square, public square"
"4554"	"abitudine"	"abitudine: habit, trick"
"4565"	"dar"	"dar: thee and thou"
"4569"	"schifoso"	"schifoso: dismal, dreary, horrible, nasty"
"4576"	"accendere"	"accendere: burn
accendere: kindle, light
accendere: illuminate
accendere: switch, turn on"
"4588"	"interrompere"	"interrompere: interrupt
interrompere: stop"
"4589"	"parere"	"parere: appear, look
parere: appear to be, seem"
"4591"	"spinta"	"spinta: push"
"4597"	"diversamente"	"diversamente: differently, else"
"4599"	"romanzo"	"romanzo: novel"
"4600"	"comunicare"	"comunicare: communicate, report"
"4612"	"batteria"	"batteria: battery"
"4617"	"consigliere"	"consigliere: counsellor"
"4618"	"origine"	"origine: lineage
origine: origin"
"4623"	"notevole"	"notevole: considerable, sizable"
"4630"	"assistenza"	"assistenza: aid, help"
"4639"	"roccia"	"roccia: rock"
"4643"	"chitarra"	"chitarra: guitar"
"4647"	"infezione"	"infezione: infection"
"4650"	"cortile"	"cortile: court, yard, courtyard"
"4656"	"passaporto"	"passaporto: passport"
"4663"	"fascicolo"	"fascicolo: exercise‐book, folder, notebook"
"4665"	"mobili"	"mobili: furniture"
"4672"	"Spagna"	"Spagna: Spain"
"4682"	"circo"	"circo: circus"
"4698"	"politico"	"politico: political"
"4705"	"bruciare"	"bruciare: burn
bruciare: burn down"
"4716"	"asilo"	"asilo: asylum"
"4717"	"liberare"	"liberare: release"
"4724"	"impiegato"	"impiegato: employee
impiegato: officer, official"
"4725"	"attuale"	"attuale: current, present, present‐day, topical, up‐to‐date"
"4729"	"considerare"	"considerare: account, consider, esteem, regard, take into account"
"4734"	"spegnere"	"spegnere: extinguish, put out"
"4748"	"drago"	"drago: dragon"
"4754"	"ambasciatore"	"ambasciatore: ambassador"
"4761"	"merce"	"merce: article, commodity"
"4763"	"spina"	"spina: thorn
spina: spine"
"4765"	"baciare"	"baciare: kiss"
"4784"	"appetito"	"appetito: appetite"
"4791"	"amministrazione"	"amministrazione: administration, management"
"4796"	"luglio"	"luglio: July"
"4798"	"metallo"	"metallo: metal"
"4803"	"ordinare"	"ordinare: book, order, reserve"
"4807"	"materia"	"materia: matter"
"4812"	"rispettare"	"rispettare: esteem, think well of
rispettare: respect"
"4816"	"altrove"	"altrove: elsewhere"
"4821"	"protetto"	"protetto: protégé"
"4823"	"tigre"	"tigre: tiger"
"4826"	"antico"	"antico: ancient, antique
antico: old"
"4856"	"stabile"	"stabile: stable"
"4859"	"promozione"	"promozione: promotion"
"4869"	"collina"	"collina: hill"
"4871"	"undici"	"undici: eleven"
"4876"	"sensibile"	"sensibile: sensitive"
"4894"	"fallimento"	"fallimento: bankrupt
fallimento: bankruptcy, failure"
"4897"	"valle"	"valle: valley"
"4898"	"preghiera"	"preghiera: appeal, entreaty, supplication
preghiera: prayer"
"4912"	"fango"	"fango: mud"
"4914"	"portatile"	"portatile: portable"
"4942"	"profondità"	"profondità: depth"
"4943"	"lusso"	"lusso: luxury"
"4944"	"visitare"	"visitare: attend, call on, see, visit"
"4949"	"acciaio"	"acciaio: steel"
"4952"	"capitale"	"capitale: fund"
"4953"	"petrolio"	"petrolio: paraffin‐oil, petroleum"
"4960"	"scarpa"	"scarpa: shoe"
"4964"	"album"	"album: album"
"4971"	"esercizio"	"esercizio: exercise, practice"
"4973"	"bicicletta"	"bicicletta: bike, cycle, bicycle"
"4974"	"quinto"	"quinto: fifth"
"4981"	"riparare"	"riparare: fix, repair
riparare: shelter, protect"
"5003"	"recitare"	"recitare: recite"
"5009"	"alternativa"	"alternativa: alternative, option"
"5028"	"chimica"	"chimica: chemistry"
"5029"	"gridare"	"gridare: cry out, scream, shout"
"5031"	"parente"	"parente: relative, female relative"
"5039"	"ansia"	"ansia: anxiety"
"5042"	"moneta"	"moneta: coin"
"5049"	"lento"	"lento: slow"
"5057"	"somma"	"somma: amount, sum"
"5064"	"pasta"	"pasta: dough, paste"
"5070"	"Berlino"	"Berlino: Berlin"
"5071"	"impedire"	"impedire: bar, hinder, inhibit, prevent"
"5076"	"ala"	"ala: wing"
"5079"	"gemelli"	"gemelli: twin"
"5086"	"impero"	"impero: empire"
"5095"	"circolo"	"circolo: circle"
"5096"	"tessuto"	"tessuto: baize"
"5097"	"India"	"India: India"
"5123"	"equilibrio"	"equilibrio: equilibrium"
"5126"	"fascino"	"fascino: charm"
"5133"	"generazione"	"generazione: generation
generazione: offspring"
"5144"	"cranio"	"cranio: skull"
"5152"	"causare"	"causare: activate, cause, give rise to"
"5153"	"sentiero"	"sentiero: path"
"5157"	"patria"	"patria: fatherland"
"5158"	"conclusione"	"conclusione: conclusion, inference"
"5160"	"tramonto"	"tramonto: sunset"
"5161"	"indiano"	"indiano: Indian, American Indian
indiano: Indian, American Indian"
"5175"	"cantante"	"cantante: singer, female singer"
"5187"	"osservazione"	"osservazione: notice, observation"
"5204"	"galleria"	"galleria: gallery"
"5207"	"pianta"	"pianta: sole
pianta: plant"
"5217"	"pagamento"	"pagamento: acquittal, payment, full payment
pagamento: installment payment"
"5221"	"giugno"	"giugno: June"
"5224"	"mela"	"mela: apple"
"5226"	"truffa"	"truffa: swindle, swindling"
"5240"	"cesso"	"cesso: toilet"
"5245"	"Cesare"	"Cesare: Caesar"
"5263"	"funzione"	"funzione: function
funzione: job, office, post"
"5267"	"Vietnam"	"Vietnam: Vietnam"
"5280"	"medio"	"medio: average, mean, middle"
"5284"	"statua"	"statua: statue"
"5285"	"sega"	"sega: saw"
"5290"	"canna"	"canna: fishing rod"
"5291"	"vacca"	"vacca: cow"
"5300"	"guadagno"	"guadagno: accession, acquisition, gain
guadagno: profit
guadagno: advantage, benefit"
"5302"	"misterioso"	"misterioso: abstruse, mysterious"
"5320"	"spingere"	"spingere: push, thrust"
"5332"	"alcool"	"alcool: alcohol
alcool: methylated spirit"
"5339"	"giuramento"	"giuramento: oath"
"5353"	"ottobre"	"ottobre: October"
"5369"	"doloroso"	"doloroso: painful"
"5380"	"strumento"	"strumento: agent, means, tool
strumento: instrument"
"5381"	"spendere"	"spendere: pay out, spend"
"5384"	"avviso"	"avviso: ad, advertisement
avviso: warning
avviso: notification, notice
avviso: advice, counsel"
"5388"	"leggero"	"leggero: light"
"5392"	"acido"	"acido: acetous, acid, sour, tart"
"5402"	"estero"	"estero: foreign country"
"5412"	"lavare"	"lavare: wash"
"5413"	"biancheria"	"biancheria: bed‐clothes, bedding"
"5414"	"maggio"	"maggio: May"
"5417"	"ricevuta"	"ricevuta: acknowledgement, receipt"
"5426"	"eterno"	"eterno: eternal"
"5447"	"martello"	"martello: hammer"
"5448"	"barone"	"barone: baron"
"5451"	"verme"	"verme: worm"
"5452"	"sorridere"	"sorridere: smile"
"5454"	"parete"	"parete: wall"
"5455"	"dieta"	"dieta: diet"
"5482"	"cioccolata"	"cioccolata: chocolate"
"5487"	"dentista"	"dentista: dentist"
"5494"	"nascere"	"nascere: arise, be born"
"5496"	"apparire"	"apparire: appear, emerge, perform"
"5512"	"evidentemente"	"evidentemente: apparently, obviously"
"5513"	"centesimo"	"centesimo: cent"
"5519"	"molla"	"molla: spring"
"5525"	"cuscino"	"cuscino: cushion"
"5546"	"liquido"	"liquido: liquid"
"5554"	"ago"	"ago: needle"
"5566"	"tristezza"	"tristezza: sadness, sorrow"
"5568"	"ambasciata"	"ambasciata: embassy"
"5579"	"volume"	"volume: volume"
"5603"	"conflitto"	"conflitto: conflict"
"5620"	"scopa"	"scopa: broom"
"5647"	"condotta"	"condotta: behavior, behaviour, conduct, deportment"
"5649"	"rene"	"rene: kidney"
"5654"	"esaminare"	"esaminare: examine"
"5663"	"confessare"	"confessare: acknowledge, admit, confess, profess"
"5664"	"irlandese"	"irlandese: Irishman"
"5665"	"Canada"	"Canadà: Canada"
"5669"	"recentemente"	"recentemente: recently"
"5686"	"cassetto"	"cassetto: drawer"
"5695"	"sostenere"	"sostenere: lean, support, sustain
sostenere: assert, state
sostenere: abet"
"5700"	"vaso"	"vaso: jug, box, container, vessel
vaso: flowerpot"
"5704"	"ritirare"	"ritirare: abstract, take away"
"5706"	"regolare"	"regolare: even, regular"
"5713"	"guarire"	"guarire: care for, cure, treat"
"5725"	"bagagliaio"	"bagagliaio: luggage‐van"
"5728"	"autore"	"autore: author
autore: writer"
"5732"	"sordo"	"sordo: deaf"
"5733"	"Afghanistan"	"Afghanistan: Afghanistan"
"5742"	"assenza"	"assenza: absence"
"5753"	"pulsante"	"pulsante: button"
"5754"	"fissato"	"fissato: defining, determining"
"5774"	"raro"	"raro: rare"
"5780"	"fermarsi"	"fermarsi: halt, come to a halt, stop"
"5782"	"scandalo"	"scandalo: offence, scandal
scandalo: commotion"
"5790"	"riparo"	"riparo: shelter"
"5796"	"ingegnere"	"ingegnere: engineer"
"5808"	"aprile"	"aprile: April"
"5809"	"baffi"	"baffi: moustache
baffi: whiskers, side‐whiskers"
"5812"	"maestra"	"maestra: teacher, female teacher"
"5831"	"selvaggio"	"selvaggio: savage, wild"
"5839"	"dividere"	"dividere: divide, separate, share"
"5840"	"cacciare"	"cacciare: chase, hunt"
"5859"	"scienziato"	"scienziato: scientist"
"5862"	"assistere"	"assistere: abet, aid, assist, help"
"5882"	"favola"	"favola: fairy tale"
"5888"	"concludere"	"concludere: abstract, deduce, gather
concludere: induce, infer
concludere: make a contract"
"5891"	"passerò"	"passero: sparrow"
"5894"	"premere"	"premere: press, oppress, squeeze"
"5896"	"costoso"	"costoso: dear, expensive, valuable
costoso: costly, pricey"
"5902"	"autunno"	"autunno: autumn"
"5911"	"agosto"	"agosto: August"
"5914"	"cinquanta"	"cinquanta: fifty"
"5916"	"foglio"	"foglio: leaf, sheet"
"5944"	"bistecca"	"bistecca: steak, beefsteak"
"5969"	"attirare"	"attirare: attract"
"5971"	"Satana"	"Satana: Lucifer, Satan"
"5975"	"formula"	"formula: formula"
"6007"	"nascondersi"	"nascondersi: hide, hide oneself"
"6012"	"certificato"	"certificato: certificate, testimony"
"6017"	"complimento"	"complimento: compliment"
"6027"	"professione"	"professione: profession"
"6028"	"pisciare"	"pisciare: urinate"
"6038"	"lavanderia"	"lavanderia: laundry"
"6048"	"dipendente"	"dipendente: dependent"
"6083"	"asso"	"asso: ace"
"6089"	"nebbia"	"nebbia: fog, mist"
"6094"	"bastare"	"bastare: suffice"
"6105"	"elettricità"	"elettricità: electricity"
"6114"	"multa"	"multa: fine"
"6122"	"goccia"	"goccia: drip, drop"
"6126"	"confermare"	"confermare: acknowledge, confirm, corroborate"
"6128"	"condurre"	"condurre: conduct, direct, guide, head, lead"
"6134"	"bagnato"	"bagnato: wet"
"6136"	"comprendere"	"comprendere: understand, realize"
"6137"	"pallone"	"pallone: balloon"
"6148"	"amministratore"	"amministratore: manager
amministratore: director, manager"
"6156"	"attivo"	"attivo: active
attivo: in action
attivo: assets
attivo: hardworking"
"6162"	"compromesso"	"compromesso: accommodation"
"6163"	"sedersi"	"sedersi: sit down"
"6168"	"curva"	"curva: bend, curve"
"6169"	"toro"	"toro: bull"
"6178"	"rifiutare"	"rifiutare: reject"
"6179"	"fissare"	"fissare: attach, determine, fasten, fix, affix, make fast, secure
fissare: gaze, peer, stare"
"6180"	"commedia"	"commedia: comedy"
"6183"	"osservare"	"osservare: keep, mind, observe
osservare: notice"
"6196"	"novembre"	"novembre: November"
"6208"	"elemento"	"elemento: element"
"6219"	"contenuto"	"contenuto: contents"
"6222"	"concorso"	"concorso: competition, contest"
"6242"	"pescare"	"pescare: fish"
"6246"	"arco"	"arco: arc, bow"
"6250"	"commettere"	"commettere: achieve, act, do, make, perform"
"6260"	"annullare"	"annullare: abjure, abolish, abrogate, annul, cancel, remit
annullare: cancel, countermand"
"6261"	"bagni"	"bagni: spa"
"6264"	"tradurre"	"tradurre: translate"
"6271"	"spaventare"	"spaventare: deter, discourage, scare"
"6277"	"demonio"	"demonio: devil"
"6279"	"commercio"	"commercio: business, commerce, trade"
"6282"	"diploma"	"diploma: diploma"
"6288"	"sognare"	"sognare: dream"
"6319"	"marzo"	"marzo: March"
"6320"	"salotto"	"salotto: lounge, parlour, salon, sitting‐room"
"6326"	"attendere"	"attendere: advert, pay attention, pay attention to, watch out for"
"6327"	"serratura"	"serratura: lock"
"6339"	"delicato"	"delicato: dainty, delicate, fine, refined"
"6344"	"meccanico"	"meccanico: mechanic"
"6355"	"sottile"	"sottile: gaunt, lean, slender, thin"
"6361"	"mento"	"mento: chin"
"6363"	"trovarsi"	"trovarsi: be found, be located, find oneself"
"6365"	"freccia"	"freccia: wisdom"
"6378"	"costante"	"costante: constant, continual, permanent, sustained"
"6400"	"svenuto"	"svenuto: unconscious"
"6405"	"compiere"	"compiere: accomplish, achieve, keep, observe, perform"
"6415"	"assalto"	"assalto: access, aggression, attack"
"6419"	"amichevole"	"amichevole: affable, friendly, good‐natured, kind"
"6420"	"ritirata"	"ritirata: toilet"
"6428"	"greco"	"greco: Greek"
"6429"	"fiamma"	"fiamma: flame"
"6440"	"restituire"	"restituire: give back, return"
"6447"	"fetta"	"fetta: bread and butter"
"6455"	"capra"	"capra: she‐goat
capra: goat"
"6485"	"fotografo"	"fotografo: photograph"
"6498"	"macellaio"	"macellaio: butcher"
"6504"	"tacere"	"tacere: be quiet"
"6508"	"candela"	"candela: candle
candela: plug, spark plug"
"6519"	"vena"	"vena: vein"
"6522"	"detenuto"	"detenuto: arrested person, prisoner"
"6552"	"decente"	"decente: decent, fitting, proper, suitable"
"6587"	"curato"	"curato: pastor, vicar
curato: clergyman, priest"
"6592"	"eseguire"	"eseguire: accomplish, achieve, keep, observe, perform"
"6595"	"orrore"	"orrore: abhorrence, abomination, horror"
"6598"	"apparecchio"	"apparecchio: apparatus, device, set"
"6604"	"asciugamano"	"asciugamano: towel"
"6620"	"negare"	"negare: deny"
"6625"	"scortese"	"scortese: rude"
"6626"	"marinaio"	"marinaio: sailor"
"6642"	"rospo"	"rospo: toad"
"6654"	"seguente"	"seguente: following, next"
"6664"	"sedici"	"sedici: sixteen"
"6668"	"disturbare"	"disturbare: bother, disturb, hinder, trouble"
"6669"	"frontiera"	"frontiera: boundary, frontier, limit"
"6672"	"aquila"	"aquila: eagle"
"6678"	"diamante"	"diamante: diamond"
"6685"	"soffitto"	"soffitto: ceiling"
"6689"	"nominare"	"nominare: appoint"
"6696"	"ballerina"	"ballerina: dancer"
"6714"	"ingannare"	"ingannare: cheat, deceive"
"6715"	"mobile"	"mobile: mobile"
"6718"	"desiderare"	"desiderare: desire, wish"
"6724"	"onorevole"	"onorevole: respectable"
"6726"	"picchiare"	"picchiare: hit, knock, strike"
"6727"	"unirsi"	"unirsi: associate, come together, join, pool"
"6737"	"elefante"	"elefante: elephant"
"6748"	"conoscenze"	"conoscenze: know how"
"6751"	"pugnale"	"pugnale: dagger"
"6754"	"trasportare"	"trasportare: transport"
"6756"	"garanzia"	"garanzia: guarantee, warrant"
"6761"	"dicembre"	"dicembre: December"
"6786"	"bloccare"	"bloccare: block, blockade"
"6789"	"valere"	"valere: be worth"
"6798"	"entusiasmo"	"entusiasmo: alacrity, enthusiasm"
"6818"	"verificare"	"verificare: audit, check, check up on, supervise, verify"
"6820"	"pollice"	"pollice: thumb"
"6821"	"analizzare"	"analizzare: analyse"
"6836"	"ragno"	"ragno: spider"
"6851"	"disgrazia"	"disgrazia: accident"
"6856"	"timido"	"timido: abashed, self‐conscious, shy"
"6867"	"volgare"	"volgare: common, everyday, vulgar"
"6869"	"mancia"	"mancia: tip"
"6879"	"Milano"	"Milano: Milan"
"6890"	"invitare"	"invitare: invite"
"6912"	"spiritoso"	"spiritoso: lively, witty"
"6917"	"comportarsi"	"comportarsi: behave, conduct oneself"
"6925"	"raffreddore"	"raffreddore: cold"
"6927"	"biscotto"	"biscotto: bicuit
biscotto: biscuit, cookie"
"6936"	"pompa"	"pompa: pump"
"6950"	"posa"	"posa: affectation"
"6951"	"efficace"	"efficace: effective, effectual, efficacious"
"6962"	"reggiseno"	"reggiseno: bra"
"6972"	"campana"	"campana: bell"
"6973"	"torcia"	"torcia: torch"
"6989"	"marrone"	"marrone: brown"
"7002"	"esistere"	"esistere: exist"
"7014"	"approvazione"	"approvazione: acclaim, approval"
"7021"	"Corea"	"Corea: Korea"
"7022"	"gennaio"	"gennaio: January"
"7040"	"dipingere"	"dipingere: paint"
"7046"	"tasso"	"tasso: badger"
"7050"	"poeta"	"poeta: poet"
"7064"	"etichetta"	"etichetta: etiquette"
"7070"	"comunicato"	"comunicato: advice, announcement, communication, message, notice, report"
"7074"	"insetto"	"insetto: bug, insect"
"7083"	"comunista"	"comunista: communist"
"7084"	"grigio"	"grigio: grey"
"7099"	"liscio"	"liscio: smooth"
"7101"	"spirituale"	"spirituale: spiritual"
"7104"	"compare"	"compare: godfather"
"7107"	"distante"	"distante: distant, far, remote"
"7132"	"avvertire"	"avvertire: caution, warn"
"7134"	"Giuseppe"	"Giuseppe: Joseph"
"7138"	"banana"	"banana: banana"
"7157"	"peggiorare"	"peggiorare: decline, go back, fall off"
"7186"	"progresso"	"progresso: advance, advancement, progress"
"7190"	"caviglia"	"caviglia: ankle"
"7199"	"conquistare"	"conquistare: conquer"
"7213"	"gallina"	"gallina: chicken, fowl"
"7216"	"contadino"	"contadino: farmer"
"7218"	"votare"	"votare: vote"
"7228"	"finanziario"	"finanziario: financial"
"7235"	"terminato"	"terminato: completed, done, finished, over, through"
"7241"	"produrre"	"produrre: afford, bear, produce"
"7244"	"significare"	"significare: imply, mean, signify"
"7251"	"azzurro"	"azzurro: blue
azzurro: sky blue"
"7253"	"alloggio"	"alloggio: abode, accommodation, dwelling, residence"
"7268"	"gelosia"	"gelosia: jealousy"
"7273"	"dirigere"	"dirigere: administer, manage"
"7286"	"gettare"	"gettare: throw"
"7298"	"reagire"	"reagire: react, respond"
"7301"	"settimo"	"settimo: seventh"
"7315"	"gratitudine"	"gratitudine: gratitude"
"7331"	"poltrona"	"poltrona: armchair"
"7342"	"Australia"	"Australia: Australia"
"7347"	"cenere"	"cenere: ash, cinder"
"7348"	"cristiano"	"cristiano: Christian"
"7357"	"tredici"	"tredici: thirteen"
"7383"	"sfera"	"sfera: ball, sphere"
"7387"	"volpe"	"volpe: fox"
"7392"	"onnipotente"	"onnipotente: almighty, all‐powerful, omnipotent"
"7396"	"esagerare"	"esagerare: exaggerate"
"7401"	"esposizione"	"esposizione: exhibition, exposition"
"7418"	"terremoto"	"terremoto: earthquake"
"7435"	"sobrio"	"sobrio: sober"
"7445"	"critica"	"critica: criticism"
"7455"	"ferire"	"ferire: hurt, wound"
"7472"	"suggerimento"	"suggerimento: suggestion"
"7477"	"gabinetto"	"gabinetto: toilet"
"7484"	"braccialetto"	"braccialetto: bracelet"
"7485"	"odiare"	"odiare: hate"
"7490"	"Svizzera"	"Svizzera: Switzerland"
"7492"	"eccetera"	"eccetera: and so on, et cetera"
"7516"	"dimensione"	"dimensione: dimension, measurement"
"7518"	"limone"	"limone: lemon"
"7525"	"raramente"	"raramente: seldom"
"7536"	"attentato"	"attentato: assault"
"7548"	"silenzioso"	"silenzioso: silent"
"7554"	"stima"	"stima: esteem, regard"
"7560"	"grandezza"	"grandezza: size"
"7566"	"Polo"	"Polo: Antarctic, the Antarctic"
"7568"	"soprannome"	"soprannome: byname, nickname, sobriquet"
"7576"	"farmacia"	"farmacia: chemist's shop, drugstore"
"7578"	"permanente"	"permanente: abiding, lasting"
"7585"	"differente"	"differente: different"
"7591"	"torace"	"torace: chest"
"7598"	"accompagnare"	"accompagnare: accompany"
"7603"	"alzarsi"	"alzarsi: get up, rise, stand, stand up"
"7611"	"sfruttare"	"sfruttare: exploit, utilize"
"7615"	"insistere"	"insistere: insist"
"7622"	"baracca"	"baracca: barrack, barn, shack, shanty, shed"
"7631"	"dessert"	"dessert: dessert"
"7635"	"vescovo"	"vescovo: bishop"
"7642"	"sciopero"	"sciopero: beam, ray"
"7655"	"febbraio"	"febbraio: February"
"7664"	"inganno"	"inganno: swindle, swindling"
"7675"	"avvicinarsi"	"avvicinarsi: advance, come close, come closer, come on"
"7677"	"virtù"	"virtú: morality, vice"
"7690"	"prosciutto"	"prosciutto: ham"
"7692"	"oca"	"oca: goose"
"7702"	"edizione"	"edizione: evening paper"
"7707"	"deficiente"	"deficiente: backward, mentally deficient, retarded"
"7714"	"protetta"	"protetta: protégée"
"7727"	"profitto"	"profitto: gain, profit
profitto: advantage, benefit"
"7763"	"altare"	"altare: altar"
"7775"	"disegnare"	"disegnare: design, draw"
"7776"	"pepe"	"pepe: pepper"
"7779"	"durare"	"durare: continue, endure, keep on, last"
"7791"	"residenza"	"residenza: abode, dwelling‐place, residence
residenza: dwelling‐place‐residence"
"7818"	"spiacevole"	"spiacevole: bleak, dismal, dreary, horrible, ghastly, grisly, nasty"
"7819"	"pulizia"	"pulizia: cleanliness, purity"
"7822"	"cognato"	"cognato: brother‐in‐law"
"7833"	"balena"	"balena: whale"
"7835"	"carbone"	"carbone: coal"
"7848"	"ricchezza"	"ricchezza: abundance, affluence, wealth"
"7849"	"freno"	"freno: brake"
"7861"	"alimentare"	"alimentare: feed, nourish"
"7868"	"veterinario"	"veterinario: veterinarian"
"7873"	"piattaforma"	"piattaforma: platform, quay, wharf"
"7888"	"difetto"	"difetto: damage"
"7896"	"determinato"	"determinato: defining, determining"
"7907"	"Rio"	"Rio: Amazon"
"7916"	"osare"	"osare: be bold, dare"
"7917"	"cestino"	"cestino: garbage can
cestino: paper‐basket"
"7920"	"ubriacone"	"ubriacone: drunk"
"7929"	"uva"	"uva: grape"
"7935"	"inchiostro"	"inchiostro: ink"
"7950"	"arabo"	"arabo: Arabian, Arabic
arabo: Arab"
"7961"	"tenebre"	"tenebre: darkness, murk"
"7979"	"barriera"	"barriera: barrier"
"7986"	"umile"	"umile: humble"
"7988"	"arancia"	"arancia: orange"
"7997"	"scuro"	"scuro: bleak, dark, dismal, dreary
scuro: dim"
"8001"	"nano"	"nano: dwarf, midget"
"8007"	"ascia"	"ascia: axe"
"8013"	"privo"	"privo: unconscious"
"8015"	"zucca"	"zucca: calabash, gourd"
"8029"	"cedere"	"cedere: cede, give in, give up, give way, relinquish, yield"
"8038"	"turco"	"turco: Turk"
"8105"	"forbici"	"forbici: scissors"
"8108"	"critico"	"critico: judge"
"8112"	"terrestre"	"terrestre: earthen, earthly, terrestrial"
"8133"	"allegro"	"allegro: cheerful, gay, merry"
"8135"	"arteria"	"arteria: artery"
"8140"	"divertire"	"divertire: amuse"
"8146"	"musicista"	"musicista: musician"
"8158"	"secchio"	"secchio: bucket, pail"
"8166"	"rispettabile"	"rispettabile: respectable"
"8168"	"sfondo"	"sfondo: background"
"8174"	"libreria"	"libreria: bookshop, bookstore
libreria: bookcase"
"8189"	"cosciente"	"cosciente: aware, conscious"
"8197"	"occupare"	"occupare: occupy, take"
"8214"	"estremo"	"estremo: extreme"
"8219"	"romano"	"romano: Roman"
"8227"	"comico"	"comico: comic, comical, funny"
"8241"	"comprensibile"	"comprensibile: understandable"
"8244"	"agnello"	"agnello: lamb"
"8247"	"contabile"	"contabile: book‐keeper"
"8256"	"celebrare"	"celebrare: celebrate"
"8261"	"descrivere"	"descrivere: describe"
"8267"	"piombo"	"piombo: lead"
"8268"	"caricare"	"caricare: accuse
caricare: strech, wind up
caricare: burden, load"
"8276"	"completare"	"completare: complete"
"8277"	"chiacchierare"	"chiacchierare: chat, chatter"
"8298"	"utilizzare"	"utilizzare: avail"
"8304"	"misero"	"misero: abject, dismal, meager, miserable, wretched"
"8313"	"baia"	"baia: bay"
"8320"	"talvolta"	"talvolta: several times, sometimes"
"8321"	"interruttore"	"interruttore: switch"
"8349"	"ramo"	"ramo: bough, branch"
"8363"	"panna"	"panna: cream"
"8368"	"menta"	"menta: mint"
"8391"	"furioso"	"furioso: furious"
"8396"	"piovere"	"piovere: rain"
"8403"	"nonni"	"nonni: grandparents"
"8408"	"bagaglio"	"bagaglio: baggage, luggage"
"8425"	"seppellire"	"seppellire: bury
seppellire: entomb, inter"
"8440"	"fontana"	"fontana: fountain"
